Start station,Start time,End station,End time
247,2016-12-01 07:59:02 +0100,220,2016-12-01 08:03:17 +0100
294,2016-12-01 07:59:20 +0100,267,2016-12-01 08:11:03 +0100
277,2016-12-01 07:59:28 +0100,243,2016-12-01 08:05:15 +0100
267,2016-12-01 07:59:42 +0100,198,2016-12-01 08:02:02 +0100
163,2016-12-01 07:59:51 +0100,302,2016-12-01 08:07:36 +0100
298,2016-12-01 07:59:57 +0100,283,2016-12-01 08:05:33 +0100
298,2016-12-01 07:59:58 +0100,176,2016-12-01 08:06:58 +0100
266,2016-12-01 08:00:12 +0100,262,2016-12-01 08:07:07 +0100
196,2016-12-01 08:00:22 +0100,288,2016-12-01 08:08:20 +0100
226,2016-12-01 08:00:29 +0100,243,2016-12-01 08:05:09 +0100
264,2016-12-01 08:00:35 +0100,264,2016-12-01 08:01:24 +0100
195,2016-12-01 08:00:38 +0100,253,2016-12-01 08:02:51 +0100
255,2016-12-01 08:00:48 +0100,251,2016-12-01 08:04:50 +0100
247,2016-12-01 08:00:49 +0100,279,2016-12-01 08:04:37 +0100
237,2016-12-01 08:00:51 +0100,231,2016-12-01 08:09:55 +0100
251,2016-12-01 08:01:08 +0100,191,2016-12-01 09:14:38 +0100
228,2016-12-01 08:01:08 +0100,279,2016-12-01 08:07:39 +0100
267,2016-12-01 08:01:39 +0100,202,2016-12-01 08:10:59 +0100
264,2016-12-01 08:01:48 +0100,264,2016-12-01 08:02:44 +0100
290,2016-12-01 08:02:06 +0100,297,2016-12-01 08:13:58 +0100
232,2016-12-01 08:02:08 +0100,202,2016-12-01 08:04:53 +0100
194,2016-12-01 08:02:29 +0100,297,2016-12-01 08:08:31 +0100
233,2016-12-01 08:02:32 +0100,301,2016-12-01 08:11:43 +0100
233,2016-12-01 08:02:50 +0100,200,2016-12-01 08:12:58 +0100
271,2016-12-01 08:02:51 +0100,297,2016-12-01 08:15:54 +0100
264,2016-12-01 08:02:57 +0100,264,2016-12-01 08:03:56 +0100
233,2016-12-01 08:03:02 +0100,279,2016-12-01 08:13:35 +0100
274,2016-12-01 08:03:21 +0100,272,2016-12-01 08:07:29 +0100
195,2016-12-01 08:03:38 +0100,279,2016-12-01 08:08:38 +0100
206,2016-12-01 08:03:55 +0100,195,2016-12-01 08:10:25 +0100
253,2016-12-01 08:04:13 +0100,167,2016-12-01 08:14:19 +0100
219,2016-12-01 08:04:13 +0100,238,2016-12-01 08:16:47 +0100
264,2016-12-01 08:04:26 +0100,279,2016-12-01 08:15:25 +0100
198,2016-12-01 08:04:37 +0100,234,2016-12-01 08:12:17 +0100
251,2016-12-01 08:04:51 +0100,186,2016-12-01 08:12:42 +0100
198,2016-12-01 08:05:13 +0100,234,2016-12-01 08:12:15 +0100
242,2016-12-01 08:05:26 +0100,200,2016-12-01 08:07:45 +0100
251,2016-12-01 08:05:44 +0100,181,2016-12-01 08:17:28 +0100
261,2016-12-01 08:05:46 +0100,279,2016-12-01 08:15:46 +0100
233,2016-12-01 08:06:14 +0100,234,2016-12-01 08:16:38 +0100
274,2016-12-01 08:06:22 +0100,190,2016-12-01 08:19:07 +0100
266,2016-12-01 08:06:30 +0100,196,2016-12-01 08:15:43 +0100
267,2016-12-01 08:06:31 +0100,170,2016-12-01 08:13:25 +0100
228,2016-12-01 08:06:51 +0100,279,2016-12-01 08:16:29 +0100
306,2016-12-01 08:06:59 +0100,253,2016-12-01 08:14:11 +0100
274,2016-12-01 08:07:05 +0100,163,2016-12-01 08:16:31 +0100
196,2016-12-01 08:07:09 +0100,163,2016-12-01 08:18:56 +0100
189,2016-12-01 08:07:23 +0100,164,2016-12-01 08:21:20 +0100
228,2016-12-01 08:07:59 +0100,211,2016-12-01 08:15:10 +0100
275,2016-12-01 08:08:17 +0100,260,2016-12-01 08:13:36 +0100
274,2016-12-01 08:08:19 +0100,204,2016-12-01 08:12:52 +0100
257,2016-12-01 08:08:21 +0100,235,2016-12-01 08:15:43 +0100
277,2016-12-01 08:08:26 +0100,210,2016-12-01 08:17:45 +0100
280,2016-12-01 08:08:29 +0100,211,2016-12-01 08:14:46 +0100
196,2016-12-01 08:08:33 +0100,277,2016-12-01 08:40:05 +0100
181,2016-12-01 08:09:04 +0100,279,2016-12-01 08:11:33 +0100
247,2016-12-01 08:09:10 +0100,278,2016-12-01 08:14:20 +0100
264,2016-12-01 08:09:14 +0100,253,2016-12-01 08:17:21 +0100
175,2016-12-01 08:09:29 +0100,211,2016-12-01 08:13:04 +0100
